Month,Sales
2022-01-31,101.98685661204493
2022-02-28,105.955483895643
2022-03-31,114.43403542905317
2022-04-30,121.20992643452979
2022-05-31,115.01350362650635
2022-06-30,113.61960218467142
2022-07-31,118.01376562834253
2022-08-31,111.56190663971545
2022-09-30,104.26836321746661
2022-10-31,107.82351042626432
2022-11-30,105.6999436249759
2022-12-31,109.9388205871579
2023-01-31,118.74512267570346
2023-02-28,116.78379318796124
2023-03-31,123.67019465713575
2023-04-30,132.84513536506918
2023-05-31,133.27082941346754
2023-06-30,138.38471759947313
2023-07-31,131.34623140747559
2023-08-31,126.17070256146931
2023-09-30,134.7080982525068
2023-10-31,126.29993719833715
2023-11-30,127.98449646753039
2023-12-31,124.97505693683331
2024-01-31,133.59959706475206
2024-02-29,142.6376142424703
2024-03-31,144.16912463000574
2024-04-30,155.82635062461318
2024-05-31,155.5035187972735
2024-06-30,157.89646127035945
2024-07-31,155.52462338122498
2024-08-31,162.61664470027085
2024-09-30,151.92412079154047
2024-10-31,145.22273143191373
2024-11-30,151.96191901533146
2024-12-31,145.36036534543433
